"Year","Measure","value"
2007,"Q007-avg",5.81000001071429
2007,"Q015-avg",5.8400000254
2007,"Q030-avg",5.95266668003333
2007,"Q060-avg",7.10500001111667
2007,"Q090-avg",7.00777779155556
2008,"Q001-avg",5.300000191
2008,"Q003-avg",5.330000083
2008,"Q007-avg",5.44857140971429
2008,"Q015-avg",5.5700000446
2008,"Q030-avg",5.66900003753333
2008,"Q060-avg",7.13250001266667
2008,"Q090-avg",9.53311110606667
2009,"Q001-avg",5.480000019
2009,"Q003-avg",5.53333330166667
2009,"Q007-avg",5.57857138785714
2009,"Q015-avg",5.59333330806667
2009,"Q030-avg",5.62499996826667
2009,"Q060-avg",5.76916664441667
2009,"Q090-avg",5.97255554731111
2010,"Q001-avg",4.389999866
2010,"Q003-avg",4.459999879
2010,"Q007-avg",4.56142854685714
2010,"Q015-avg",4.64799998593333
2010,"Q030-avg",4.7919999917
2010,"Q060-avg",5.02766667206667
2010,"Q090-avg",5.2647777875
2011,"Q001-avg",5.679999828
2011,"Q003-avg",5.83999983433333
2011,"Q007-avg",5.89285700642857
2011,"Q015-avg",5.96933333073333
2011,"Q030-avg",6.2103333473
2011,"Q060-avg",7.15016667843333
2011,"Q090-avg",7.55166666777778
2012,"Q001-avg",3.549999952
2012,"Q003-avg",3.596666654
2012,"Q007-avg",4.13857153485714
2012,"Q015-avg",4.251333332
2012,"Q030-avg",4.68766668636667
2012,"Q060-avg",5.23583335876667
2012,"Q090-avg",6.23344444175556
