"","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012"
"SEP_MIN_DAILY_SW",4.110000134,6.260000229,4.110000134,12.60000038,5.239999771,5.239999771,7.670000076,5.949999809,4.130000114,6.460000038,10,9.170000076,5.659999847,7.019999981,4.869999886,4.699999809,4.659999847,5.590000153,7.989999771,5.130000114,3.779999971,3.880000114,4.099999905,4.320000172,4.96999979,4.909999847,11.5,4.429999828,5.03000021,4.940000057,4.840000153,4.71999979,7.829999924,3.960000038,6.010000229,5.230000019,5.329999924,5.440000057,2.68,3.170000076,5.019999981,2.579999924,5.769999981,5.800000191,5.5,4.389999866,5.679999828,4.079999924
"OCT_MIN_DAILY_SW",3.539999962,6.369999886,4.699999809,14.39999962,24.39999962,6.230000019,11.19999981,5.829999924,3.109999895,3.339999914,10.60000038,7.5,10.69999981,14.39999962,12.60000038,9.420000076,24.29999924,7.320000172,6.670000076,9.06000042,7.610000134,3.450000048,3.940000057,7.480000019,4.079999924,5.820000172,11,5.190000057,4.889999866,5.139999866,4.929999828,4.880000114,51.40000153,4.369999886,6.28000021,9.020000458,9.090000153,5.5,2.72,14.89999962,5.809999943,3.049999952,21.5,16.70000076,5.5,4.409999847,12.89999962,3.549999952
"NOV_MIN_DAILY_SW",72.80000305,30.60000038,51,72.80000305,23.5,19.5,39.90000153,7.21999979,28.29999924,3.279999971,119,17.5,88.30000305,13.60000038,28.70000076,21.89999962,89.19999695,42,17.29999924,44.29999924,33.59999847,8.079999924,3.799999952,14.30000019,28.20000076,61.40000153,13.39999962,42.09999847,9.340000153,37.79999924,39.79999924,48.29999924,56.59999847,11.89999962,42.70000076,27.70000076,44,4.980000019,39.70000076,45.40000153,52.40000153,5.230000019,50.79999924,27.5,63.90000153,54.20000076,35.5,57.09999847
"DEC_MIN_DAILY_SW",68.80000305,119,49.29999924,88.09999847,34,45,41.29999924,27,110,88.09999847,69.40000153,26.10000038,68.19999695,24.20000076,36.59999847,89.90000153,69.09999847,69.19999695,36.5,45.79999924,26.60000038,56.79999924,44.40000153,53,38.40000153,59,67.90000153,36.29999924,27.5,52,101,54.20000076,67.09999847,123,68.69999695,46.90000153,82.30000305,44.09999847,83.59999847,69.30000305,26.39999962,104,71.80000305,30.79999924,83.19999695,62.29999924,37.90000153,63.40000153
"JAN_MAX_DAILY_SW",92.59999847,260,213,450,98.5,150,172,178,270,343,108,165,96.30000305,101,39.40000153,174,244,158,199,197,44.40000153,400,187,127,131,132,170,324,94.40000153,139,201,254,245,275,282,88.69999695,139,289,252,180,321,297,304,166,121,365,211,229
"FEB_MAX_DAILY_SW",196,119,187,211,65.69999695,80.69999695,187,180,107,246,68.5,125,80.09999847,89.80000305,170,172,213,201,303,127,41.20000076,201,138,99,90,174,248,299,71.40000153,143,262,137,169,180,232,82.90000153,67.80000305,174,181,120,137,236,107,65.5,49.20000076,113,130,133
"MAR_MAX_DAILY_SW",86.69999695,117,138,135,103,72.19999695,151,185,79.30000305,202,98.30000305,104,147,64,196,144,93.90000153,138,177,111,37.90000153,156,149,105,87.09999847,89.30000305,79.40000153,88.59999847,123,257,157,80,359,109,175,70,40.79999924,99.69999695,229,70.90000153,47.40000153,69.59999847,278,71,90.19999695,99.30000305,222,132
"APR_MAX_DAILY_SW",70.80000305,140,77.59999847,76.5,141,138,92.30000305,116,38.20000076,154,49,85,57.79999924,56.90000153,44.40000153,73,75.90000153,45.29999924,78.30000305,78.19999695,66.59999847,95.40000153,59.70000076,136,106,59,80.80000305,37.70000076,89.80000305,75.19999695,80.09999847,121,124,35.09999847,83.90000153,50.29999924,50.90000153,103,146,63.70000076,129,66.09999847,105,47.20000076,68,133,107,94.09999847
"MAY_MAX_DAILY_SW",56.09999847,43.90000153,39.09999847,39.59999847,79,23.79999924,74.80000305,54.09999847,43.90000153,67.69999695,62.90000153,72.5,41.09999847,24.20000076,30.29999924,49.09999847,73.19999695,42.70000076,20.39999962,80.69999695,50.79999924,68.09999847,32.29999924,44.29999924,50.79999924,33.59999847,23.39999962,31.29999924,78,28.5,22.70000076,95.90000153,121,19.5,79.5,57.40000153,69.80000305,46.40000153,37,22.70000076,83.90000153,31.39999962,67.40000153,83.40000153,63.29999924,66.69999695,74.5,85.30000305
"JUN_MAX_DAILY_SW",15.89999962,31.70000076,32.59999847,20.79999924,64.80000305,11.80000019,52.70000076,25.20000076,38.79999924,64.80000305,38.79999924,56.59999847,25.89999962,19.79999924,12.39999962,12.5,41.09999847,28,12.80000019,60,19,51.29999924,21.39999962,51.79999924,6.889999866,55.70000076,9.319999695,8.390000343,25.60000038,17.5,5.829999924,21.39999962,47.70000076,6.449999809,73.40000153,42.40000153,24.20000076,31.89999962,14,9.729999542,40.40000153,30.39999962,24.5,49.90000153,16.39999962,67.40000153,50.40000153,25.39999962
"JUL_MAX_DAILY_SW",9.229999542,26.89999962,7.389999866,16.29999924,12.69999981,5.659999847,45,41.90000153,11,38.5,19.60000038,36,6.630000114,7.21999979,6.170000076,11.89999962,37.09999847,16.20000076,43.90000153,17.5,7.789999962,12.5,13.80000019,6.190000057,7.289999962,7.940000057,7.429999828,8.539999962,11.5,12.30000019,5.820000172,6.320000172,64.80000305,5.949999809,32.70000076,13.80000019,14.39999962,12.30000019,7.199999809,3.450000048,11.89999962,5.730000019,9.420000076,15.69999981,7.03000021,7.889999866,11.5,17.60000038
"AUG_MAX_DAILY_SW",11.39999962,13.30000019,6.739999771,16,6.090000153,5.320000172,13.5,8.159999847,6.739999771,11.89999962,26.29999924,12.89999962,6.710000038,6.940000057,5.099999905,10.89999962,8.229999542,6.119999886,17.89999962,5.769999981,4.769999981,10.19999981,6.75,5.760000229,5.989999771,6.070000172,87.90000153,4.929999828,6.039999962,5.989999771,6.820000172,5.550000191,12.80000019,4.670000076,10.60000038,6.639999866,6.539999962,6.210000038,6.460000038,3.660000086,5.699999809,5.360000134,9.06000042,14.19999981,6.5,5.400000095,10.39999962,7.119999886
"SEP_MAX_DAILY_SW",9.659999847,8.75,6.510000229,19.29999924,36.20000076,11.60000038,17.20000076,19.79999924,6,8.270000458,26.70000076,18.89999962,14.89999962,37.90000153,29.29999924,10.5,17.60000038,7.139999866,14.60000038,17.29999924,8.090000153,7.960000038,6.150000095,17.5,7.889999866,15.80000019,84.90000153,12.19999981,14.60000038,6.110000134,7.090000153,5.300000191,57.70000076,4.329999924,7.300000191,17.5,16.29999924,6.769999981,3.690000057,14.89999962,13.30000019,3.440000057,19.20000076,18.20000076,5.760000229,9.380000114,26.79999924,5.989999771
"OCT_MAX_DAILY_SW",67.09999847,43.29999924,167,122,39.09999847,27.20000076,42.20000076,15,34,8.720000267,182,16.20000076,62,34,67.5,15.19999981,158,105,17.20000076,111,73.30000305,8.649999619,5.170000076,14.10000038,32.90000153,74.40000153,20.20000076,34.59999847,13.30000019,25.29999924,65.80000305,64.5,157,14.60000038,50.90000153,53.20000076,45.29999924,14.69999981,312,42.79999924,90.90000153,5.78000021,112,32.40000153,84.19999695,85.80000305,51.70000076,68.59999847
"NOV_MAX_DAILY_SW",171,182,156,141,49.59999847,71.40000153,127,50.09999847,194,146,345,34.29999924,198,48.09999847,60.59999847,212,202,93.69999695,290,182,86.40000153,116,53,139,90.59999847,283,147,72.59999847,17.60000038,60,286,109,167,281,181,52.20000076,162,182,134,107,117,333,157,111,407,108,193,130
"DEC_MAX_DAILY_SW",188,362,187,177,150,153,83.80000305,425,337,227,265,95.09999847,233,55.20000076,336,385,221,217,109,148,56,149,198,114,176,326,157,66,191,250,286,129,171,325,211,88.19999695,255,166,132,213,187,276,381,56,239,261,135,194
"JAN_MEAN_DAILY_SW",45.1032258306452,123.841935065806,143.387096774194,204.73870948129,60.3290325290323,71.651612803871,96.7129034232258,67.1225803745161,162.106451711613,162.92258035,83.3451613148387,124.203225904839,56.2580643925806,71.2129033,25.5870970445161,113.08709692129,108.325807387419,73.622580743871,129.4483869,107.541934844194,32.8903227774194,152.580645407419,134.583871164516,63.1516129277419,83.7741933022581,83.3419354341935,82.4870963558065,139.000000245484,39.0838709806452,87.2580647622581,128.132258015484,133.996774243226,156.629032258065,145.658064565806,147.290322580645,64.8129027593548,70.6935485103226,138.803225363226,159.051612854194,104.629032505161,126.338709924194,205.322580645161,176.938709628065,101.854838832581,73.6419352870968,176.438709628065,135.170967594194,128.374193745161
