"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"May",21.309999278,21.3099992752075,2.79251111123813e-09,21.3099992766037,1.31042290287829e-10,"P70"
"Nov",46.90000153,46.9000015258789,4.12109812941708e-09,46.9000015279395,8.78698932869339e-11,"P70"
"Oct",8.7650002481,8.76500024795533,1.44670053714435e-10,8.76500024802766,1.65054249424567e-11,"P70"
"Sep",5.340000153,5.34000015258789,4.1211034584876e-10,5.34000015279394,7.71742198608626e-11,"P70"
"Apr",38.5749988525,38.5749988555908,-3.09082537341965e-09,38.5749988540454,8.01250930716621e-11,"P75"
"Aug",5,5,0,5,0,"P75"
"Dec",66.0749988525,66.0749988555908,-3.09081826799229e-09,66.0749988540454,4.6777424466093e-11,"P75"
"Feb",60,60,0,60,0,"P75"
"Jan",65.80000305,65.8000030517578,-1.7577974631422e-09,65.8000030508789,2.67142459215846e-11,"P75"
"Jul",5.659999847,5.65999984741211,-4.1211034584876e-10,5.65999984720606,7.28110171331877e-11,"P75"
"Jun",7.579999924,7.57999992370605,2.93949753427114e-10,7.57999992385303,3.87796512374759e-11,"P75"
"Mar",51.29999924,51.2999992370605,2.93950108698482e-09,51.2999992385302,5.73002169710955e-11,"P75"
"May",18.349999905,18.3499999046326,3.67403885093154e-10,18.3499999048163,2.0022010190677e-11,"P75"
"Nov",42.5,42.5,0,42.5,0,"P75"
"Oct",7.617499948,7.61749994754791,4.52089921054721e-10,7.61749994777395,5.93488577819859e-11,"P75"
"Sep",5.230000019,5.23000001907349,-7.34896588028278e-11,5.23000001903675,1.40515599493942e-11,"P75"
"Apr",35.79999924,35.7999992370605,2.93950108698482e-09,35.7999992385302,8.21089706566569e-11,"P80"
"Aug",4.860000134,4.8600001335144,4.85600004651587e-10,4.8600001337572,9.99176936804272e-11,"P80"
"Dec",58.59999847,58.5999984741211,-4.12109812941708e-09,58.5999984720605,7.0325908479024e-11,"P80"
"Feb",54.90000153,54.9000015258789,4.12112655112651e-09,54.9000015279394,7.50660553083811e-11,"P80"
"Jan",58.59999847,58.5999984741211,-4.12109812941708e-09,58.5999984720605,7.0325908479024e-11,"P80"
"Jul",5.4639999388,5.46399993896484,-1.64841473804245e-10,5.46399993888242,3.01686448843483e-11,"P80"
"Jun",6.9479998586,6.9479998588562,-2.56203058768278e-10,6.9479998587281,3.68743615396646e-11,"P80"
"Mar",47.20000076,47.2000007629395,-2.93950108698482e-09,47.2000007614698,6.22775643975072e-11,"P80"
"May",16.10000038,16.1000003814697,-1.46970080550091e-09,16.1000003807349,9.12857621580892e-11,"P80"
"Nov",37.70000076,37.7000007629395,-2.93950108698482e-09,37.7000007614698,7.79708495387898e-11,"P80"
"Oct",6.6739999768,6.67399997711182,-3.11817238696221e-10,6.67399997695591,4.67211926540109e-11,"P80"
"Sep",5.03000021,5.03000020980835,1.91650251224473e-10,5.03000020990418,3.81014400053324e-11,"P80"
"Apr",32.29999924,32.2999992370605,2.93950108698482e-09,32.2999992385302,9.10062277487093e-11,"P85"
"Aug",4.610000134,4.6100001335144,4.85600004651587e-10,4.6100001337572,1.05336223549264e-10,"P85"
"Dec",51.4050014535,51.405001449585,3.91504073604665e-09,51.4050014515425,7.61606969262944e-11,"P85"
"Feb",49.59999847,49.5999984741211,-4.12109812941708e-09,49.5999984720605,8.30866583945254e-11,"P85"
"Jan",49.59999847,49.5999984741211,-4.12109812941708e-09,49.5999984720605,8.30866583945254e-11,"P85"
"Jul",5.25,5.25,0,5.25,0,"P85"
"Jun",6.550000191,6.55000019073486,2.65139910027301e-10,6.55000019086743,4.04793743971156e-11,"P85"
"Mar",41.910001377,41.910001373291,3.70898334267622e-09,41.9100013751455,8.84987645186719e-11,"P85"
"May",14.19999981,14.1999998092651,7.34900140741956e-10,14.1999998096325,5.1753531731982e-11,"P85"
"Nov",31.39999962,31.3999996185303,1.46970080550091e-09,31.3999996192651,4.68057587045060e-11,"P85"
