"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1974,7.13571428571428,7.13571428571429,-6.21724893790088e-15,7.13571428571428,8.71286137443567e-16,"annual_min_07day_sw"
1975,5.77428571428571,5.77428571428571,-5.32907051820075e-15,5.77428571428571,9.22896922993698e-16,"annual_min_07day_sw"
1976,6.82571428571428,6.82571428571429,-5.32907051820075e-15,6.82571428571428,7.80734483620872e-16,"annual_min_07day_sw"
1977,7.35142857142856,7.35142857142857,-1.15463194561016e-14,7.35142857142857,1.5706225455249e-15,"annual_min_07day_sw"
1978,5.7842857142857,5.78428571428571,-1.50990331349021e-14,5.78428571428571,2.61035396256644e-15,"annual_min_07day_sw"
1979,7.2242857142857,7.22428571428572,-1.50990331349021e-14,7.22428571428571,2.09003820336791e-15,"annual_min_07day_sw"
1980,6.40571428571427,6.40571428571429,-1.68753899743024e-14,6.40571428571428,2.6344275160597e-15,"annual_min_07day_sw"
1981,8.59999999999998,8.6,-1.95399252334028e-14,8.59999999999999,2.27208432946544e-15,"annual_min_07day_sw"
1982,4.71428571428569,4.71428571428571,-2.39808173319034e-14,4.7142857142857,5.08684004010073e-15,"annual_min_07day_sw"
1983,6.69428571428569,6.69428571428571,-2.39808173319034e-14,6.6942857142857,3.58228171838079e-15,"annual_min_07day_sw"
1984,6.88571428571427,6.88571428571429,-1.59872115546023e-14,6.88571428571428,2.3217942091746e-15,"annual_min_07day_sw"
1985,5.41714285714284,5.41714285714286,-1.68753899743024e-14,5.41714285714285,3.1151827484208e-15,"annual_min_07day_sw"
1986,5.59285714285712,5.59285714285714,-2.22044604925031e-14,5.59285714285713,3.97014619278473e-15,"annual_min_07day_sw"
1987,6.61285714285712,6.61285714285714,-2.30926389122033e-14,6.61285714285713,3.49208192666717e-15,"annual_min_07day_sw"
1988,4.3185714285714,4.31857142857143,-2.93098878501041e-14,4.31857142857142,6.78694062026892e-15,"annual_min_07day_sw"
1989,5.03571428571425,5.03571428571429,-3.5527136788005e-14,5.03571428571427,7.05503425577407e-15,"annual_min_07day_sw"
1990,7.20714285714282,7.20714285714286,-3.64153152077051e-14,7.20714285714284,5.05267009819498e-15,"annual_min_07day_sw"
1991,5.6785714285714,5.67857142857143,-2.8421709430404e-14,5.67857142857141,5.00508090598311e-15,"annual_min_07day_sw"
1992,5.8985714285714,5.89857142857143,-2.8421709430404e-14,5.89857142857141,4.81840557066671e-15,"annual_min_07day_sw"
1993,4.9285714285714,4.92857142857143,-2.8421709430404e-14,4.92857142857141,5.76672365254576e-15,"annual_min_07day_sw"
1994,6.39999999999997,6.4,-2.93098878501041e-14,6.39999999999998,4.57966997657878e-15,"annual_min_07day_sw"
1995,5.46428571428569,5.46428571428571,-2.39808173319034e-14,5.4642857142857,4.38864630910651e-15,"annual_min_07day_sw"
1996,6.79999999999997,6.8,-2.93098878501041e-14,6.79999999999998,4.31027762501532e-15,"annual_min_07day_sw"
1997,5.34285714285712,5.34285714285714,-2.22044604925031e-14,5.34285714285713,4.15591506544177e-15,"annual_min_07day_sw"
1998,5.8285714285714,5.82857142857143,-2.8421709430404e-14,5.82857142857141,4.87627367678501e-15,"annual_min_07day_sw"
1999,6.52428571428569,6.52428571428571,-2.48689957516035e-14,6.5242857142857,3.81175761465349e-15,"annual_min_07day_sw"
2000,6.42999999999998,6.43,-1.86517468137026e-14,6.42999999999999,2.9007382291917e-15,"annual_min_07day_sw"
2001,6.49999999999998,6.5,-2.04281036531029e-14,6.49999999999999,3.14278517740045e-15,"annual_min_07day_sw"
2002,6.02142857142854,6.02142857142857,-3.10862446895044e-14,6.02142857142856,5.16260291403396e-15,"annual_min_07day_sw"
2003,5.57142857142854,5.57142857142857,-3.10862446895044e-14,5.57142857142856,5.57958238016747e-15,"annual_min_07day_sw"
2004,4.5885714285714,4.58857142857143,-2.8421709430404e-14,4.58857142857141,6.19402135780911e-15,"annual_min_07day_sw"
2005,6.05714285714283,6.05714285714286,-2.66453525910038e-14,6.05714285714284,4.39899689002422e-15,"annual_min_07day_sw"
2006,4.63571428571426,4.63571428571429,-2.48689957516035e-14,4.63571428571427,5.36465239633975e-15,"annual_min_07day_sw"
2007,5.25714285714283,5.25714285714286,-2.75335310107039e-14,5.25714285714284,5.23735644225347e-15,"annual_min_07day_sw"
2008,4.95714285714283,4.95714285714286,-2.66453525910038e-14,4.95714285714284,5.37514317397772e-15,"annual_min_07day_sw"
2009,4.78571428571425,4.78571428571429,-3.5527136788005e-14,4.78571428571427,7.42358082137421e-15,"annual_min_07day_sw"
2010,4.25714285714283,4.25714285714286,-2.75335310107039e-14,4.25714285714284,6.46760795553449e-15,"annual_min_07day_sw"
2011,6.22428571428568,6.22428571428572,-3.5527136788005e-14,6.2242857142857,5.70782551104053e-15,"annual_min_07day_sw"
2012,7.71285714285711,7.71285714285714,-3.37507799486048e-14,7.71285714285713,4.37591145842256e-15,"annual_min_07day_sw"
2013,6.32285714285711,6.32285714285714,-3.28626015289046e-14,6.32285714285713,5.19742907144901e-15,"annual_min_07day_sw"
2014,5.24142857142853,5.24142857142857,-4.08562073062058e-14,5.24142857142855,7.79486102871195e-15,"annual_min_07day_sw"
1964,84,84,0,84,0,"annual_mindoy_07day_sw"
1965,91,91,0,91,0,"annual_mindoy_07day_sw"
1966,68,68,0,68,0,"annual_mindoy_07day_sw"
1967,75,75,0,75,0,"annual_mindoy_07day_sw"
1968,53,53,0,53,0,"annual_mindoy_07day_sw"
1969,25,25,0,25,0,"annual_mindoy_07day_sw"
1970,336,336,0,336,0,"annual_mindoy_07day_sw"
1971,89,89,0,89,0,"annual_mindoy_07day_sw"
1972,348,348,0,348,0,"annual_mindoy_07day_sw"
1973,44,44,0,44,0,"annual_mindoy_07day_sw"
1974,14,14,0,14,0,"annual_mindoy_07day_sw"
1975,59,59,0,59,0,"annual_mindoy_07day_sw"
1976,90,90,0,90,0,"annual_mindoy_07day_sw"
1977,62,62,0,62,0,"annual_mindoy_07day_sw"
1978,67,67,0,67,0,"annual_mindoy_07day_sw"
1979,58,58,0,58,0,"annual_mindoy_07day_sw"
1980,70,70,0,70,0,"annual_mindoy_07day_sw"
1981,46,46,0,46,0,"annual_mindoy_07day_sw"
1982,42,42,0,42,0,"annual_mindoy_07day_sw"
1983,40,40,0,40,0,"annual_mindoy_07day_sw"
1984,359,359,0,359,0,"annual_mindoy_07day_sw"
1985,35,35,0,35,0,"annual_mindoy_07day_sw"
1986,50,50,0,50,0,"annual_mindoy_07day_sw"
1987,61,61,0,61,0,"annual_mindoy_07day_sw"
1988,37,37,0,37,0,"annual_mindoy_07day_sw"
1989,39,39,0,39,0,"annual_mindoy_07day_sw"
1990,51,51,0,51,0,"annual_mindoy_07day_sw"
1991,10,10,0,10,0,"annual_mindoy_07day_sw"
1992,26,26,0,26,0,"annual_mindoy_07day_sw"
1993,50,50,0,50,0,"annual_mindoy_07day_sw"
1994,43,43,0,43,0,"annual_mindoy_07day_sw"
1995,69,69,0,69,0,"annual_mindoy_07day_sw"
1996,34,34,0,34,0,"annual_mindoy_07day_sw"
1997,30,30,0,30,0,"annual_mindoy_07day_sw"
1998,15,15,0,15,0,"annual_mindoy_07day_sw"
1999,52,52,0,52,0,"annual_mindoy_07day_sw"
2000,353,353,0,353,0,"annual_mindoy_07day_sw"
2001,41,41,0,41,0,"annual_mindoy_07day_sw"
2002,70,70,0,70,0,"annual_mindoy_07day_sw"
2003,24,24,0,24,0,"annual_mindoy_07day_sw"
2004,41,41,0,41,0,"annual_mindoy_07day_sw"
2005,13,13,0,13,0,"annual_mindoy_07day_sw"
2006,50,50,0,50,0,"annual_mindoy_07day_sw"
2007,16,16,0,16,0,"annual_mindoy_07day_sw"
2008,30,30,0,30,0,"annual_mindoy_07day_sw"
2009,59,59,0,59,0,"annual_mindoy_07day_sw"
2010,10,10,0,10,0,"annual_mindoy_07day_sw"
2011,58,58,0,58,0,"annual_mindoy_07day_sw"
2012,51,51,0,51,0,"annual_mindoy_07day_sw"
2013,343,343,0,343,0,"annual_mindoy_07day_sw"
2014,38,38,0,38,0,"annual_mindoy_07day_sw"
1964,5.556,5.556,2.66453525910038e-15,5.556,4.79577980399636e-16,"annual_min_30day_sw"
1965,8.195,8.195,0,8.195,0,"annual_min_30day_sw"
1966,7.06666666666667,7.06666666666667,3.5527136788005e-15,7.06666666666667,5.02742501717052e-16,"annual_min_30day_sw"
