"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1974,0.952733333333333,0.952733333333333,-3.33066907387547e-16,0.952733333333333,3.49590904122399e-16,"annual_min_30day_sw"
1975,0.640666666666667,0.640666666666666,5.55111512312578e-16,0.640666666666667,8.66459176346376e-16,"annual_min_30day_sw"
1976,1.17166666666667,1.17166666666667,2.88657986402541e-15,1.17166666666667,2.46365280002168e-15,"annual_min_30day_sw"
1977,0.682433333333333,0.682433333333333,-4.44089209850063e-16,0.682433333333333,6.5074372566316e-16,"annual_min_30day_sw"
1978,1.01423333333333,1.01423333333333,-3.5527136788005e-15,1.01423333333333,3.50285635665742e-15,"annual_min_30day_sw"
1979,0.610433333333333,0.610433333333333,-2.22044604925031e-16,0.610433333333333,3.63749148023314e-16,"annual_min_30day_sw"
1980,1.07906666666667,1.07906666666667,3.5527136788005e-15,1.07906666666667,3.29239498220731e-15,"annual_min_30day_sw"
1981,0.937266666666667,0.937266666666667,3.33066907387547e-16,0.937266666666667,3.55359812989061e-16,"annual_min_30day_sw"
1982,1.01293333333333,1.01293333333333,-3.5527136788005e-15,1.01293333333333,3.50735192720861e-15,"annual_min_30day_sw"
1983,0.675533333333333,0.675533333333333,-3.33066907387547e-16,0.675533333333333,4.93042890635864e-16,"annual_min_30day_sw"
1984,0.877766666666667,0.877766666666667,4.44089209850063e-16,0.877766666666667,5.05930820472482e-16,"annual_min_30day_sw"
1985,0.6124,0.6124,1.11022302462516e-16,0.6124,1.81290500428667e-16,"annual_min_30day_sw"
1986,0.661366666666667,0.661366666666667,2.22044604925031e-16,0.661366666666667,3.35736008656365e-16,"annual_min_30day_sw"
1987,0.460133333333333,0.460133333333333,-3.33066907387547e-16,0.460133333333333,7.23848683108259e-16,"annual_min_30day_sw"
1988,0.4272,0.4272,0,0.4272,0,"annual_min_30day_sw"
1989,0.742366666666667,0.742366666666667,1.11022302462516e-16,0.742366666666667,1.49551842031138e-16,"annual_min_30day_sw"
1990,1.0162,1.0162,0,1.0162,0,"annual_min_30day_sw"
1991,0.9642,0.9642,-1.11022302462516e-16,0.9642,1.15144474655171e-16,"annual_min_30day_sw"
1992,0.603166666666667,0.603166666666667,2.22044604925031e-16,0.603166666666667,3.68131425683942e-16,"annual_min_30day_sw"
1993,0.683666666666667,0.683666666666667,1.11022302462516e-16,0.683666666666667,1.62392446312797e-16,"annual_min_30day_sw"
1994,0.328033333333333,0.328033333333333,-4.44089209850063e-16,0.328033333333333,1.3537929372525e-15,"annual_min_30day_sw"
1995,0.677733333333333,0.677733333333333,-4.44089209850063e-16,0.677733333333333,6.55256555946384e-16,"annual_min_30day_sw"
1996,0.8875,0.8875,-1.11022302462516e-16,0.8875,1.2509555207044e-16,"annual_min_30day_sw"
1997,0.965466666666667,0.965466666666667,4.44089209850063e-16,0.965466666666667,4.59973632630226e-16,"annual_min_30day_sw"
1998,0.458933333333333,0.458933333333333,-2.77555756156289e-16,0.458933333333333,6.04784477388777e-16,"annual_min_30day_sw"
1999,1.75433333333333,1.75433333333333,-3.10862446895044e-15,1.75433333333333,1.77196910637494e-15,"annual_min_30day_sw"
